id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,,
132516,22179,12,NULL,2,1096,393,NULL,NULL,1/1/2013 9:30,NULL,0,0,1/1/2013 7:51,12.96519,77.71932,13.19956,77.70688,,
132529,22187,65,NULL,2,1061,393,NULL,NULL,1/2/2013 1:00,NULL,0,0,1/1/2013 12:11,12.924878,77.566255,13.19956,77.70688,,
132532,23180,12,NULL,2,1192,353,NULL,NULL,1/2/2013 4:30,NULL,0,0,1/1/2013 12:22,12.97677,77.5727,13.03241,77.59914,,
132547,30849,12,NULL,2,515,849,NULL,NULL,1/1/2013 20:15,NULL,0,0,1/1/2013 16:51,12.97896,77.67345,12.95434,77.60072,,
132548,22198,12,NULL,2,83,463,NULL,NULL,1/3/2013 0:30,NULL,0,0,1/1/2013 17:04,12.92415,77.67229,12.96037,77.58132,,
132549,22199,12,NULL,2,1052,393,NULL,NULL,1/2/2013 3:30,NULL,0,0,1/1/2013 17:06,12.912695,77.576265,13.19956,77.70688,,
132554,12997,12,NULL,2,1330,590,NULL,NULL,1/2/2013 8:45,NULL,0,0,1/1/2013 17:34,12.953434,77.70651,13.00826,77.56433,,
132560,20380,12,NULL,2,1068,1384,NULL,NULL,1/1/2013 19:30,NULL,0,0,1/1/2013 18:32,13.044009,77.606805,13.02853,77.54625,,
132562,21635,85,NULL,2,571,243,NULL,NULL,1/2/2013 6:00,NULL,0,0,1/1/2013 18:45,12.95185,77.69642,13.24373,77.70915,,
132565,403,28,NULL,2,1192,83,NULL,NULL,1/2/2013 7:15,NULL,0,0,1/1/2013 19:02,12.97677,77.5727,12.92415,77.67229,,
132575,22215,12,NULL,2,293,1069,NULL,NULL,1/2/2013 10:00,NULL,0,0,1/1/2013 20:27,12.849482,77.663187,12.949764,77.643524,,
132582,22218,12,NULL,2,585,58,NULL,NULL,1/2/2013 9:00,NULL,0,0,1/1/2013 21:45,12.97677,77.5727,12.88963,77.60119,,
